"","x"
"1","Albany (NY)"
"2","albany-ny"
"3","Missouri-Kansas City"
"4","missouri-kansas-city"
"5","Alabama-Birmingham"
"6","uab"
"7","Nevada-Las Vegas"
"8","unlv"
"9","Miami (FL)"
"10","miami-fl"
"11","Loyola (IL)"
"12","loyola-il"
"13","Lafayette"
"14","lafayette"
"15","Texas A&M"
"16","texas-am"
"17","Louisiana State"
"18","lsu"
"19","West Virginia"
"20","west-virginia"
"21","Texas Christian"
"22","tcu"
"23","St. John's (NY)"
"24","st-johns-ny"
"25","Alabama A&M"
"26","alabama-am"
"27","Miami (OH)"
"28","miami-oh"
"29","Central Florida"
"30","central-florida"
"31","Loyola (MD)"
"32","loyola-md"
"33","Saint Mary's (CA)"
"34","saint-marys-ca"
"35","North Carolina A&T"
"36","north-carolina-at"
"37","Saint Francis (PA)"
"38","saint-francis-pa"
"39","Saint Peter's"
"40","saint-peters"
"41","Grambling"
"42","grambling"
"43","Virginia Military Institute"
"44","vmi"
"45","Texas A&M-Corpus Christi"
"46","texas-am-corpus-christi"
"47","St. Francis (NY)"
"48","st-francis-ny"
"49","Florida A&M"
"50","florida-am"
"51","William & Mary"
"52","william-mary"
"53","Stephen F. Austin"
"54","stephen-f-austin"
"55","St. Bonaventure"
"56","st-bonaventure"
"57","Saint Joseph's"
"58","saint-josephs"
"59","Mount St. Mary's"
"60","mount-st-marys"
"61","Central Florida"
"62","ucf"
